companyShortName,positionName,education,workYear,coooooooompanyFullName,positionAdvantage,salary,city,linestaion,companySize,financeStage
拉勾网,Web前端开发,本科,3-5年,,技术挑战、美味果盘、运动健身,15k-30k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,500-2000人,D轮及以上
vivo,Web前端开发工程师（Base南京）,本科,5-10年,,"高成长,高潜力,高回报",15k-30k,北京,10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路,2000人以上,未融资
洋钱罐,Web前端工程师,本科,1-3年,,"扁平化管理,技术大牛,午餐晚餐,不打卡",15k-30k,北京,6号线_呼家楼;6号线_东大桥;10号线_农业展览馆;10号线_团结湖;10号线_呼家楼;10号线_金台夕照,150-500人,不需要融资
四众互联,web前端工程师,本科,1-3年,,发展平台、七险一金、年终奖,15k-25k,北京,,50-150人,不需要融资
尚德机构,Web前端开发工程师,本科,3-5年,,"十五薪,轻松的环境,扁平化管理,免费学习",20k-35k,北京,14号线东段_来广营;14号线东段_东湖渠,2000人以上,B轮
第三石科技,Web前端开发工程师,本科,3-5年,,良好的技术氛围，扁平化管理，年轻创业团队,15k-30k,北京,,50-150人,B轮
家园网,web前端开发工程师,本科,3-5年,,"股票期权,绩效奖金",15k-25k,北京,,500-2000人,不需要融资
竞技世界,web前端工程师,本科,5-10年,,定期调薪，国内外出游，大牛云集，健身房,20k-30k,北京,13号线_上地,500-2000人,不需要融资
Face++,web前端开发工程师,不限,不限,,大牛多；黑科技 ；人工智能,15k-30k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里,500-2000人,C轮
网利宝,web前端,不限,3-5年,,产品发展快，上升快，加薪快 美女多,15k-30k,北京,,150-500人,B轮
美团点评,WEB 前端开发工程师,本科,3-5年,,"平台好,福利好,技术牛人多,氛围棒",20k-40k,北京,5号线_和平西桥;8号线_安德里北街;8号线_安华桥;8号线_北土城;10号线_北土城;10号线_安贞门,2000人以上,D轮及以上
北京捷越联合,Web前端工程师,大专,3-5年,,六险一金 地铁周边,15k-25k,北京,2号线_东四十条;2号线_朝阳门;5号线_灯市口;5号线_东四;6号线_朝阳门;6号线_东四,2000人以上,不需要融资
TalkingData,Web前端开发工程师,不限,不限,,创新方向；高于同行薪资；东直门便利交通,15k-30k,北京,2号线_东直门;2号线_东四十条;13号线_东直门;机场线_东直门,500-2000人,D轮及以上
云帐房,Web前端开发工程师,本科,5-10年,,优秀领导 和谐团队 竞争性福利 好技术平台,15k-28k,北京,1号线_建国门;2号线_朝阳门;2号线_建国门;5号线_灯市口;6号线_朝阳门,150-500人,B轮
微创,Web前端开发（赴平安好房）,本科,3-5年,,"弹性时间,五险一金,团建活动",15k-17k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,2000人以上,不需要融资
拉勾网,Web前端开发,本科,3-5年,,技术挑战、美味果盘、运动健身,15k-30k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,500-2000人,D轮及以上
vivo,Web前端开发工程师（Base南京）,本科,5-10年,,"高成长,高潜力,高回报",15k-30k,北京,10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路,2000人以上,未融资
洋钱罐,Web前端工程师,本科,1-3年,,"扁平化管理,技术大牛,午餐晚餐,不打卡",15k-30k,北京,6号线_呼家楼;6号线_东大桥;10号线_农业展览馆;10号线_团结湖;10号线_呼家楼;10号线_金台夕照,150-500人,不需要融资
四众互联,web前端工程师,本科,1-3年,,发展平台、七险一金、年终奖,15k-25k,北京,,50-150人,不需要融资
尚德机构,Web前端开发工程师,本科,3-5年,,"十五薪,轻松的环境,扁平化管理,免费学习",20k-35k,北京,14号线东段_来广营;14号线东段_东湖渠,2000人以上,B轮
第三石科技,Web前端开发工程师,本科,3-5年,,良好的技术氛围，扁平化管理，年轻创业团队,15k-30k,北京,,50-150人,B轮
家园网,web前端开发工程师,本科,3-5年,,"股票期权,绩效奖金",15k-25k,北京,,500-2000人,不需要融资
竞技世界,web前端工程师,本科,5-10年,,定期调薪，国内外出游，大牛云集，健身房,20k-30k,北京,13号线_上地,500-2000人,不需要融资
Face++,web前端开发工程师,不限,不限,,大牛多；黑科技 ；人工智能,15k-30k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里,500-2000人,C轮
网利宝,web前端,不限,3-5年,,产品发展快，上升快，加薪快 美女多,15k-30k,北京,,150-500人,B轮
美团点评,WEB 前端开发工程师,本科,3-5年,,"平台好,福利好,技术牛人多,氛围棒",20k-40k,北京,5号线_和平西桥;8号线_安德里北街;8号线_安华桥;8号线_北土城;10号线_北土城;10号线_安贞门,2000人以上,D轮及以上
北京捷越联合,Web前端工程师,大专,3-5年,,六险一金 地铁周边,15k-25k,北京,2号线_东四十条;2号线_朝阳门;5号线_灯市口;5号线_东四;6号线_朝阳门;6号线_东四,2000人以上,不需要融资
TalkingData,Web前端开发工程师,不限,不限,,创新方向；高于同行薪资；东直门便利交通,15k-30k,北京,2号线_东直门;2号线_东四十条;13号线_东直门;机场线_东直门,500-2000人,D轮及以上
云帐房,Web前端开发工程师,本科,5-10年,,优秀领导 和谐团队 竞争性福利 好技术平台,15k-28k,北京,1号线_建国门;2号线_朝阳门;2号线_建国门;5号线_灯市口;6号线_朝阳门,150-500人,B轮
微创,Web前端开发（赴平安好房）,本科,3-5年,,"弹性时间,五险一金,团建活动",15k-17k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,2000人以上,不需要融资
滴滴出行,web前端开发工程师,本科,3-5年,,期权激励，六险一金，未来的一站式出行平台,20k-35k,北京,,2000人以上,不需要融资
搜狗,网页搜索-资深Web前端开发工程师,本科,5-10年,,公司重点项目、海量数据支撑、服务数亿用户,25k-50k,北京,4号线大兴线_北京大学东门;13号线_五道口;15号线_清华东路西口,2000人以上,C轮
普奥云信息,web前端,本科,3-5年,,物联网 大数据 六险一金,15k-20k,北京,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京,50-150人,A轮
新东方教育行业研究院,web前端开发工程师,本科,3-5年,,"扁平化,大牛多,待遇好",15k-27k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,150-500人,B轮
京东商城,WEB前端开发工程师,本科,3-5年,,"技术大牛多,公司环境好,有班车,帅哥美女多",15K-30K,北京,亦庄线_万源街;亦庄线_荣京东街,2000人以上,上市公司
一起考教师,高级web前端开发工程师,本科,3-5年,,"五险一金,弹性工作,扁平管理,晋升空间大",15k-25k,北京,10号线_苏州街;10号线_长春桥;10号线_火器营,50-150人,A轮
好未来,web前端工程师,本科,3-5年,,"五险一金,试用期全额,年终奖金",25k-40k,北京,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;4号线大兴线_中关村;10号线_苏州街;10号线_海淀黄庄;10号线_知春里,2000人以上,上市公司
薪人薪事,Web前端工程师,本科,3-5年,,"技术导向,大牛云集,15薪餐补,零食饮料",15k-25k,北京,14号线东段_来广营;14号线东段_东湖渠,50-150人,B轮
丽兹行,web前端,本科,3-5年,,"新项目,新技术,朝阳行业,美女多",20k-35k,北京,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京,500-2000人,不需要融资
巧达数据,web前端开发工程师,不限,3-5年,,月餐补2千 半年加薪 6个月年奖 期权换现金,15k-25k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里,50-150人,B轮
爱奇艺,卢米埃-Web前端开发,本科,3-5年,,公司前景好，带薪年假，优秀团队,15k-20k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,2000人以上,D轮及以上
光宇游戏,web前端工程师,大专,3-5年,,定期体检 带薪年假 生育补贴,10k-11k,北京,,2000人以上,上市公司
小米,web前端,本科,3-5年,,"年终奖,餐补,股票期权,没有考勤",15k-25k,北京,13号线_上地,2000人以上,D轮及以上
办公逸,Web前端开发,本科,5-10年,,"五险一金,弹性工作,带薪年假,定期体检",15k-20k,北京,13号线_上地,50-150人,B轮
智慧星光,Web前端开发工程师,本科,3-5年,,"五险一金,双休,过节费,补助",18k-25k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,500-2000人,不需要融资
滴滴出行,web前端工程师,本科,3-5年,,期权激励，六险一金，靠谱团队，福利最全,22k-44k,北京,13号线_西二旗;昌平线_西二旗,2000人以上,不需要融资
普奥云信息,web前端开发工程师,本科,3-5年,,"云计算,物联网,六险一金",15k-30k,北京,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京,50-150人,A轮
肆客体育,web前端开发工程师,本科,3-5年,,快速发展,15k-30k,北京,,50-150人,A轮
京东集团,Web前端开发工程师,本科,5-10年,,"五险一金,股票期权,免费班车,补充医疗",25k-50k,北京,8号线_奥林匹克公园;8号线_森林公园南门;15号线_奥林匹克公园,2000人以上,上市公司
Udesk－企业级智能客服平台,web前端,本科,5-10年,,"行业爆发期,团队强悍,待遇丰厚",20k-35k,北京,2号线_车公庄;2号线_西直门;4号线大兴线_平安里;4号线大兴线_新街口;4号线大兴线_西直门;6号线_平安里;6号线_车公庄;6号线_车公庄西,150-500人,B轮
新中新集团,web前端开发工程师,本科,5-10年,,"领导好,团队活泼,待遇好,有发展空间",12k-22k,北京,9号线_丰台科技园;9号线_科怡路;房山线_郭公庄,500-2000人,上市公司
家园网,高级web前端工程师,本科,5-10年,,"股票期权,绩效奖金",20k-30k,北京,,500-2000人,不需要融资
彩量科技,WEB前端工程师,本科,3-5年,,"扁平管理,福利好,发展快,人性化",15k-30k,北京,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京,15-50人,不需要融资
百度,Web前端研发工程师,本科,3-5年,,"福利好,环境好,弹性,发展前景",20k-40k,北京,13号线_西二旗;昌平线_西二旗,2000人以上,不需要融资
众享比特,WEB前端研发工程师,本科,3-5年,,"全额一金,补充医疗,员工体检,半年调薪",15k-25k,北京,14号线东段_将台;14号线东段_东风北桥,15-50人,B轮
马上金融,WEB前端开发工程师,本科,3-5年,,年终奖，学习上升空间大，工作氛围好,15k-30k,北京,15号线_望京东,2000人以上,不需要融资
畅游,Web前端开发工程师,本科,3-5年,,"发展平台好,各类补助,超长年假,工作环境好",15k-20k,北京,1号线_八角游乐园,2000人以上,上市公司
美团点评,web前端开发,本科,3-5年,,"六险一金,管理nic,薪酬高",20k-40k,北京,15号线_望京东,2000人以上,D轮及以上
京东金融,web前端,本科,3-5年,,餐补+年终奖+好的晋升空间,15k-25k,北京,,2000人以上,上市公司
洋钱罐,中级Web前端工程师,硕士,1-3年,,"互联网金融,技术力量强,定期体检,氛围轻松",20k-35k,北京,6号线_呼家楼;6号线_东大桥;10号线_农业展览馆;10号线_团结湖;10号线_呼家楼;10号线_金台夕照,150-500人,不需要融资
家园网,高级web前端工程师,本科,5-10年,,"股票期权,绩效奖金",20k-30k,北京,,500-2000人,不需要融资
洛客众创,web前端开发,本科,3-5年,,"技术氛围,带薪年假,五险一金,零食不断",18k-30k,北京,5号线_大屯路东;8号线_奥林匹克公园;8号线_森林公园南门;15号线_大屯路东;15号线_安立路;15号线_奥林匹克公园,150-500人,B轮
APUS Group,Web前端研发工程师,不限,3-5年,,五险一金，股票期权，扁平管理，团建丰富,15k-30k,北京,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京,150-500人,B轮
格灵深瞳,web前端开发工程师,本科,3-5年,,"六险一金,年终奖,弹性工作,节日福利",15k-25k,北京,8号线_林萃桥,50-150人,C轮
九五智驾,web前端开发工程师,本科,5-10年,,五险一金 年底双薪 绩效奖金 节日福利 体检,15k-25k,北京,4号线大兴线_动物园;4号线大兴线_国家图书馆;4号线大兴线_魏公村;9号线_国家图书馆,500-2000人,上市公司
Udesk－企业级智能客服平台,web前端,本科,3-5年,,"行业爆发期,团队强悍,待遇丰厚",15k-25k,北京,2号线_车公庄;2号线_西直门;4号线大兴线_平安里;4号线大兴线_新街口;4号线大兴线_西直门;6号线_平安里;6号线_车公庄;6号线_车公庄西,150-500人,B轮
启明合心,web前端工程师,本科,3-5年,,"业务稳定,团队牛逼,重视个体,扁平管理",18k-25k,北京,4号线大兴线_北京大学东门;13号线_五道口;15号线_清华东路西口,15-50人,A轮
九章云极科技,web前端资深工程师,本科,5-10年,,"技术大神,氛围好,福利多,空间大",25k-40k,北京,13号线_上地,150-500人,B轮
爱特曼科技,Web 前端工程师,本科,5-10年,,"高薪,福利待遇优,人性化管理,前景广阔",18k-35k,北京,10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路,15-50人,A轮
洋钱罐,中高级Web前端工程师,硕士,1-3年,,"技术驱动,六险一金,工作氛围好,午餐晚餐",20k-35k,北京,6号线_呼家楼;6号线_东大桥;10号线_农业展览馆;10号线_团结湖;10号线_呼家楼;10号线_金台夕照,150-500人,不需要融资
跟谁学,web前端开发工程师,本科,3-5年,,六险一金，8天带薪年假，餐补,15k-25k,北京,,500-2000人,A轮
捷通华声,高级web前端开发工程师,本科,3-5年,,"人工智能,半年调薪,团队氛围好,五险一金",15k-25k,北京,13号线_西二旗;昌平线_西二旗,150-500人,不需要融资
极客邦科技,Web前端工程师,本科,3-5年,,"弹性办公,大牛团队,氛围愉悦,注重分享",15k-25k,北京,14号线东段_来广营;14号线东段_东湖渠,50-150人,A轮
信和财富,web前端工程师,本科,3-5年,,"五险一金,带薪病假,美女帅锅多,弹性工作时",18k-25k,北京,9号线_丰台科技园;9号线_科怡路;房山线_郭公庄,2000人以上,不需要融资
尚德机构,高级Web前端工程师,本科,3-5年,,"五险一金,14天年假,免费学习,15薪",20k-40k,北京,14号线东段_来广营;14号线东段_东湖渠,2000人以上,B轮
家园网,中级web前端工程师,本科,3-5年,,"股票期权,绩效奖金",15k-25k,北京,,500-2000人,不需要融资
赢时胜软件,Web前端高级开发工程师,本科,5-10年,,"公司前景好,内部培训,优秀团队",18k-25k,北京,,500-2000人,上市公司
智慧星光,web前端开发--编辑器控件,本科,3-5年,,"环境好,福利棒",15k-25k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,500-2000人,不需要融资
mobike摩拜单车,web前端开发,本科,3-5年,,五险一金、期权、每年2次调薪、扁平化管理,20k-35k,北京,,150-500人,D轮及以上
数美,web前端工程师,本科,1-3年,,"海量数据,大牛云集,股票期权,待遇给力",15k-30k,北京,14号线东段_来广营;14号线东段_东湖渠,150-500人,B轮
罗辑思维,Web前端工程师,本科,3-5年,,"补充医疗,定期体检,弹性工作,发展空间大",15k-30k,北京,,150-500人,B轮
高思教育集团,Web前端开发工程师,本科,3-5年,,"平台广阔,领导好,周末双休,六险一金",15k-25k,北京,,2000人以上,上市公司
时趣social-touch,web前端工程师,本科,3-5年,,平台好，弹性工作，晋升空间大,15k-25k,北京,7号线_九龙山;7号线_广渠门外;10号线_双井;10号线_劲松;14号线东段_九龙山,500-2000人,D轮及以上
微创,Web前端工程师,本科,3-5年,,"带薪假期,六险一金,年终奖金,弹性工作",10k-13k,北京,16号线_马连洼,2000人以上,不需要融资
最右,高级web前端工程师,本科,3-5年,,"成长空间大,高薪高股,大牛云集,不打卡",20k-40k,北京,10号线_西土城;10号线_牡丹园;10号线_健德门,50-150人,B轮
洋钱罐,高级Web前端工程师,本科,1-3年,,"技术驱动,六险一金,技术大神多,午餐晚餐",20k-35k,北京,6号线_呼家楼;6号线_东大桥;10号线_农业展览馆;10号线_团结湖;10号线_呼家楼;10号线_金台夕照,150-500人,不需要融资
恒昌利通,高级WEB前端开发工程师,本科,5-10年,,弹性工作、企业班车、BAT大牛团队,20k-30k,北京,,2000人以上,不需要融资
作业盒子,高级web前端开发工程师,本科,3-5年,,期权 高速发展 BAT牛人 办公环境 免费水果,20k-40k,北京,1号线_建国门;2号线_东四十条;2号线_朝阳门;2号线_建国门;5号线_灯市口;5号线_东四;6号线_朝阳门;6号线_东四,150-500人,C轮
畅游,web前端工程师,本科,3-5年,,"技能提升,学习空间,薪酬福利,五险一金",10k-20k,北京,,2000人以上,上市公司
博易智软,web前端开发工程师,大专,3-5年,,"年底双薪,五险一金,带薪年假,餐补",15k-20k,北京,2号线_西直门;4号线大兴线_西直门,150-500人,上市公司
智慧星光,web前端工程师,本科,3-5年,,"五险一金,交通补助,全勤奖,节日福利",10k-20k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,500-2000人,不需要融资
瓜子二手车直卖网,Web前端开发,本科,3-5年,,前沿技术 弹性工作 年终奖丰厚,25k-30k,北京,13号线_西二旗;昌平线_西二旗,2000人以上,B轮
火舞游戏,web前端开发工程师,大专,3-5年,,高素质团队 扁平管理 氛围好 老板好,15k-25k,北京,1号线_四惠东;八通线_四惠东;八通线_高碑店,15-50人,不需要融资
转转,资深web前端开发工程师,本科,3-5年,,"挑战&amp;成长,空间大,回报好,万亿潜力",25k-50k,北京,,500-2000人,A轮
永洪科技,高级web前端工程师,本科,5-10年,,"C轮,高端办公,技术大牛,发展空间大",25k-30k,北京,1号线_永安里;1号线_国贸;6号线_呼家楼;6号线_东大桥;10号线_呼家楼;10号线_金台夕照;10号线_国贸,150-500人,C轮
舟恩信息,WEB前端开发,本科,3-5年,,"互联网,金融",12k-18k,北京,13号线_西二旗;昌平线_西二旗,150-500人,不需要融资
尚德机构,高级web前端开发,本科,3-5年,,发展空间大 扁平化管理 技术氛围好,20k-30k,北京,14号线东段_来广营;14号线东段_东湖渠,2000人以上,B轮
网贷天眼,WEB前端开发工程师,本科,3-5年,,"五险一金,年底双薪,过节福利,创业公司",12k-24k,北京,,50-150人,A轮
水象金融,Web前端开发工程师,本科,3-5年,,"年底双薪,美味下午茶,带薪年假,交通补助",15k-20k,北京,9号线_丰台科技园;9号线_科怡路;房山线_郭公庄,150-500人,A轮
蜻蜓FM,web前端工程师,本科,3-5年,,发展前景优，工作氛围轻松,18k-36k,北京,1号线_永安里;1号线_国贸;6号线_呼家楼;6号线_东大桥;10号线_呼家楼;10号线_金台夕照;10号线_国贸,150-500人,D轮及以上
dotamax,web前端,本科,不限,,北大博士 腾讯大牛 电竞大数据 丰厚期权,8k-15k,北京,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京,50-150人,A轮
好未来,培优总部-web前端,本科,3-5年,,上市公司、五险一金、发展空间大,20k-30k,北京,4号线大兴线_魏公村;4号线大兴线_人民大学;4号线大兴线_海淀黄庄;10号线_海淀黄庄;10号线_知春里,2000人以上,上市公司
任子行,高级WEB开发工程师（前端）,本科,3-5年,,上市公司 股权激励,15k-20k,北京,16号线_温阳路,500-2000人,上市公司
美团点评,闪付业务-web前端开发工程师,本科,3-5年,,"核心部门,平台大,待遇优,发展空间大",15k-30k,北京,15号线_望京东,2000人以上,D轮及以上
畅捷通,WEB前端,本科,3-5年,,"五险一金,13薪,车话餐补,开放扁平",20k-30k,北京,16号线_永丰;16号线_永丰南,500-2000人,上市公司
洋钱罐,Web前端工程师,本科,1-3年,,"扁平化管理,技术大牛,午餐晚餐,六险一金",15k-30k,北京,6号线_呼家楼;6号线_东大桥;10号线_农业展览馆;10号线_团结湖;10号线_呼家楼;10号线_金台夕照,150-500人,不需要融资
AbleSky,web前端开发工程师,本科,3-5年,,"互联网教育,技术大牛,高回报率,团队氛围好",15k-20k,北京,10号线_西土城;15号线_六道口,150-500人,C轮
美菜网,web前端（总部-Z）,本科,3-5年,,五险一金 弹性工作,18k-36k,北京,8号线_安华桥;8号线_北土城;10号线_北土城;10号线_安贞门,2000人以上,D轮及以上
铂金智慧,高级web前端工程师,不限,5-10年,,"大数据产品,新技术,弹性工作,免费晚餐",15k-30k,北京,13号线_上地,150-500人,B轮
瓜子二手车直卖网,web前端开发,本科,3-5年,,平均15薪行业独角兽；弹性工作时间,18k-35k,北京,13号线_龙泽,2000人以上,B轮
幸福消费金融,Web前端开发工程师,本科,5-10年,,"年终奖金,绩效奖金,带薪年假",20k-35k,北京,1号线_国贸;7号线_九龙山;7号线_广渠门外;10号线_国贸;10号线_双井;10号线_劲松;14号线东段_九龙山,50-150人,不需要融资
腾讯,Web前端开发,本科,3-5年,,公司平台大，福利待遇好,13k-26k,北京,10号线_知春里;10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路,2000人以上,上市公司
尚德机构,高级web前端开发工程师,本科,3-5年,,发展空间大 团队氛围好,20k-35k,北京,14号线东段_来广营;14号线东段_东湖渠,2000人以上,B轮
滴滴出行,Web前端研发工程师/架构师,本科,3-5年,,期权激励，六险一金，靠谱团队，福利最全,20k-40k,北京,13号线_西二旗;昌平线_西二旗,2000人以上,不需要融资
慕课网,Web前端开发工程师,本科,3-5年,,"五险一金,补充医疗,定期体检,节日福利",15k-25k,北京,4号线大兴线_魏公村;4号线大兴线_人民大学;10号线_长春桥,50-150人,不需要融资
美团点评,web前端工程师,本科,1-3年,,技术氛围好,20k-30k,北京,15号线_望京东,2000人以上,D轮及以上
